No of Actors '6863'.
Actor details - FirstName:HerbertLastName: RossDob:1927.
Actor details - FirstName:KatharineLastName:RossDob:1942.
Actor details - FirstName:BerniceLastName:GauntDob:1909.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:IsabellaLastName:RosselliniDob:1955.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PalminaLastName:OmiccioliDob:1925.
Actor details - FirstName:NormanLastName:RossingtonDob:1928.
Actor details - FirstName:LeonardLastName:RossiterDob:1926.
Actor details - FirstName:LillianLastName:RutsteinDob:1910.
Actor details - FirstName:TimLastName:RothDob:19bb.
Actor details - FirstName:RichardLastName:RoundtreeDob:1937.
Actor details - FirstName:RobertLastName:RounsevilleDob:1914.
Actor details - FirstName:LastName:Dob:1957.
Actor details - FirstName:DanLastName:RowanDob:1922.
Actor details - FirstName:VirginiaLastName:RowlandsDob:1934.
Actor details - FirstName:PatsyLastName:RowlandsDob:1934.
Actor details - FirstName:LastName:RoyceDob:.
Actor details - FirstName:ChristianLastName:RubDob:1887.
Actor details - FirstName:AlmaLastName:SmithDob:1897.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JohnLastName:RubinsteinDob:.
Actor details - FirstName:PaulLastName: RuddDob:1970.
Actor details - FirstName:HerbertLastName:RudleyDob:1911.
Actor details - FirstName:RitaLastName: RudnerDob:.
Actor details - FirstName:MercedesLastName:RuehlDob:~1992.
Actor details - FirstName:CharlesLastName:RugglesDob:1886.
Actor details - FirstName:HeinzLastName:R\"uhmannDob:1902.
Actor details - FirstName:BarbaraLastName:RuickDob:1933.
Actor details - FirstName:JaniceLastName:RuleDob:1931.
Actor details - FirstName:SiegfriedLastName:RumannDob:1884.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JennyLastName:RunacreDob:1943.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:gnLastName:bnDob:.
Actor details - FirstName:BarbaraLastName:RushDob:1927.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DelLastName:RusselDob:1952.
Actor details - FirstName:TheresaLastName:RussellDob:1957.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:GailLastName:RussellDob:1924.
Actor details - FirstName:HaroldLastName:RussellDob:1914.
Actor details - FirstName:JaneLastName:RussellDob:1921.
Actor details - FirstName:JohnLastName:RussellDob:1921.
Actor details - FirstName:KenLastName: RussellDob:.
Actor details - FirstName:KurtLastName:RussellDob:1951.
Actor details - FirstName:Helen LouiseLastName:LeonardDob:1861.
Actor details - FirstName:NipseyLastName:RussellDob:1925.
Actor details - FirstName:RosalindLastName:RussellDob:1908.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Ren\'eLastName:RussoDob:1955.
Actor details - FirstName:AnnLastName:RutherfordDob:1917.
Actor details - FirstName:MargaretLastName:RutherfordDob:1892.
Actor details - FirstName:BasilLastName:RuysdaelDob:1888.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:IreneLastName:RiordanDob:1903.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:John P.LastName:RyanDob:1938.
Actor details - FirstName:KathleenLastName:RyanDob:1922.
Actor details - FirstName:LastName:Dob:1962.
Actor details - FirstName:MitchellLastName:RyanDob:1928.
Actor details - FirstName:PeggyLastName:RyanDob:1924.
Actor details - FirstName:RobertLastName:RyanDob:1909.
Actor details - FirstName:KatherineLastName:McLaughlinDob:1921.
Actor details - FirstName:TimLastName:RyanDob:1889.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:BobbyLastName:RydellDob:1942.
Actor details - FirstName:LastName:Dob:1934.
Actor details - FirstName:HorowitzLastName:WinonaDob:1971.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:SabuLastName:DastagirDob:1924.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MarianneLastName:S\"agebrechtDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MortLastName:SahlDob:1926.
Actor details - FirstName:Eva MarieLastName:SaintDob:1924.
Actor details - FirstName:MichaelLastName:Saint DenisDob:.
Actor details - FirstName:SusanLastName:MillerDob:1946.
Actor details - FirstName:Eugene GeroLastName:SzakallDob:1884.
Actor details - FirstName:HaroldLastName:SakataDob:1920.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CharlesLastName:SaleDob:1885.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MiltonLastName:HinesDob:1926.
Actor details - FirstName:PeterLastName:SallisDob:1921.
Actor details - FirstName:AlbertLastName:SalmiDob:1928.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JenniferLastName:SaltDob:1944.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:TataniaLastName:SamoilovaDob:1934.
Actor details - FirstName:WillLastName:SampsonDob:1935.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PaulLastName:SanchezDob:1944.
Actor details - FirstName:DominiqueLastName:VaraigneDob:1948.
Actor details - FirstName:WalterLastName:SandeDob:1906.
Actor details - FirstName:GeorgeLastName:SandersDob:1906.
Actor details - FirstName:ScottLastName:SandersDob:1885.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Stanley J.LastName:SandfordDob:1894.
Actor details - FirstName:AdamLastName:SandlerDob:1966.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DianaLastName:SandsDob:1934.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:TommyLastName:SandsDob:1937.
Actor details - FirstName:ErskineLastName:SanfordDob:1880.
Actor details - FirstName:RalphLastName:SanfordDob:1899.
Actor details - FirstName:LauraLastName:San GiacomoDob:1952.
Actor details - FirstName:OlgaLastName:San JuanDob:1927.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ReniLastName:SantoniDob:1939.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:TomLastName:SantschiDob:1879.
Actor details - FirstName:ChrisLastName:SarandonDob:1942.
Actor details - FirstName:Susan AbigailLastName:TomalingDob:1946.
Actor details - FirstName:DickLastName:SargentDob:1937.
Actor details - FirstName:MichaelLastName:SarneDob:1939.
Actor details - FirstName:MichaelLastName:SarrazinDob:1940.
Actor details - FirstName:JaquelineLastName:SassardDob:1940.
Actor details - FirstName:BernieLastName:LyonDob:1921.
Actor details - FirstName:LastName:Dob:1976.
Actor details - FirstName:JohnLastName:SavageDob:1953.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Danielle Nadine SuzanneLastName:SalleDob:1940.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AristotlesLastName:SavalasDob:1924.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JimmyLastName:SavoDob:1895.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JosephLastName:SawyerDob:1901.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CarmenLastName:OrricoDob:1935.
Actor details - FirstName:GretaLastName:ScacchiDob:1960.
Actor details - FirstName:GiovannaLastName:ScoglioDob:1934.
Actor details - FirstName:DianaLastName:ScarwidDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:NatalieLastName:SchaferDob:1912.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:WilliamLastName:SchallertDob:1922.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RoyLastName:ScheiderDob:1934.
Actor details - FirstName:CatherineLastName:vonSchellDob:.
Actor details - FirstName:MariaLastName:SchellDob:1926.
Actor details - FirstName:MaximilianLastName:SchellDob:1930.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Mary KateLastName:SchellhardtDob:1979.
Actor details - FirstName:RosannaLastName:SchiaffinoDob:1939.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ClaudiaLastName:SchifferDob:19bb.
Actor details - FirstName:JosephLastName:SchildkrautDob:1895.
Actor details - FirstName:GusLastName:SchillingDob:1908.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JosephLastName:SchmidtDob:1906.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MagdaLastName:SchneiderDob:.
Actor details - FirstName:MariaLastName:SchneiderDob:1952.
Actor details - FirstName:RosemarieLastName:Albach-RettyDob:1938.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MaxLastName:SchrekDob:1879.
Actor details - FirstName:RickyLastName:SchroderDob:1970.
Actor details - FirstName:JohnLastName:SchuckDob:1944.
Actor details - FirstName:DwightLastName:SchultzDob:.
Actor details - FirstName:ReinholdLastName:SchunzelDob:1886.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MauriceLastName:SchwarzDob:1891.
Actor details - FirstName:ArnoldLastName:SchwarzeneggerDob:1947.
Actor details - FirstName:HannaLastName:SchygullaDob:1943.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AnnabelleLastName:SciorraDob:.
Actor details - FirstName:PaulLastName:ScofieldDob:1922.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MartinLastName:ScorceseDob:.
Actor details - FirstName:CampbellLastName:ScottDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:George CampbellLastName:ScottDob:1926.
Actor details - FirstName:Gordon M.LastName:WerschkulDob:1927.
Actor details - FirstName:HazelLastName:ScottDob:1920.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JanetteLastName:ScottDob:1938.
Actor details - FirstName:Kathryn LeighLastName:ScottDob:1947.
Actor details - FirstName:KenLastName:ScottDob:.
Actor details - FirstName:EmmaLastName:MatzoDob:1922.
Actor details - FirstName:MargarettaLastName:ScottDob:1912.
Actor details - FirstName:MarthaLastName:ScottDob:1914.
Actor details - FirstName:maryLastName:ScottDob:.
Actor details - FirstName:PippaLastName:ScottDob:1935.
Actor details - FirstName:RandolphLastName:CraneDob:1903.
Actor details - FirstName:TerryLastName:ScottDob:1927.
Actor details - FirstName:ZacharyLastName:ScottDob:1914.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:noneLastName:ScrapsDob:1914.
Actor details - FirstName:AlexanderLastName:ScourbyDob:1913.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:StevenLastName:SeagalDob:1952.
Actor details - FirstName:BarbaraLastName:Herzstine (Hershey)Dob:1948.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JackieLastName:SearleDob:1920.
Actor details - FirstName:HeatherLastName:SearsDob:1935.
Actor details - FirstName:VictorLastName:SjostromDob:1879.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JeanLastName:SebergDob:1938.
Actor details - FirstName:HarryLastName:SecombeDob:1921.
Actor details - FirstName:GeorgeLastName:SegalDob:1934.
Actor details - FirstName:VivienneLastName:SegalDob:1897.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:EmmanuelleLastName:SeignerDob:1967.
Actor details - FirstName:JohnnyLastName:SekkaDob:.
Actor details - FirstName:DavidLastName:SelbyDob:1941.
Actor details - FirstName:ElizabethLastName:SellarsDob:1923.
Actor details - FirstName:TomLastName:SelleckDob:.
Actor details - FirstName:PeterLastName:SellersDob:1925.
Actor details - FirstName:MortonLastName:StubbsDob:1860.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LarryLastName:SemonDob:1889.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:GiuseppeLastName:SegatoDob:1917.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JacquesLastName:SernasDob:1925.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ChristopherLastName:SerroneDob:1976.
Actor details - FirstName:JeanLastName:ServaisDob:1910.
Actor details - FirstName:AlmiraLastName:SessionsDob:1888.
Actor details - FirstName:BruceLastName:SetonDob:1909.
Actor details - FirstName:PilarLastName:SeuratDob:.
Actor details - FirstName:GeorgeLastName:SewellDob:1924.
Actor details - FirstName:AtheneLastName:SeylerDob:1889.
Actor details - FirstName:AnneLastName:SeymourDob:1909.
Actor details - FirstName:DanLastName:SeymourDob:1915.
Actor details - FirstName:JaneLastName:SeymourDob:1951.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DelphineLastName:SeyrigDob:1932.
Actor details - FirstName:KamranLastName:ShahDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Tupac Amaru>LastName:ShakurDob:1971.
Actor details - FirstName:TonyLastName:ShalboubDob:19bb.
Actor details - FirstName:HarryLastName:ShannonDob:1890.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MichaelLastName:ShalhouzDob:1932.
Actor details - FirstName:RayLastName:SharkeyDob:1952.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:WilliamLastName:ShatnerDob:1931.
Actor details - FirstName:MickeyLastName:ShaughnessyDob:1920.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RetaLastName:ShawDob:1912.
Actor details - FirstName:RobertLastName:ShawDob:1927.
Actor details - FirstName:SebastianLastName:ShawDob:1905.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PatsyLastName:SlootsDob:1929.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JeanetteLastName:ElphickDob:1935.
Actor details - FirstName:Winfred LeiLastName:MomiDob:1899.
Actor details - FirstName:JoanLastName:FultonDob:1929.
Actor details - FirstName:DickLastName:SchulefandDob:1928.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Robert ShaenLastName:DaweDob:1910.
Actor details - FirstName:TamaraLastName: NikoulinDob:1897.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AlfredLastName:ShoenbergDob:1868.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MoiraLastName:KingDob:1926.
Actor details - FirstName:NormaLastName:ShearerDob:1900.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CharlieLastName:SheenDob:.
Actor details - FirstName:RamonLastName:EstevezDob:1940.
Actor details - FirstName:JohnnyLastName:SheffieldDob:1931.
Actor details - FirstName:ReginaldLastName:SheffieldDob:1901.
Actor details - FirstName:GeneLastName:SheldonDob:1909.
Actor details - FirstName:ShelleyLastName:BarbaraDob:1933.
Actor details - FirstName:JohnLastName:PriceDob:1917.
Actor details - FirstName:JoyLastName:SheltonDob:1922.
Actor details - FirstName:SusanLastName:ShentallDob:1934.
Actor details - FirstName:Samuel ShepardLastName:RogersDob:1943.
Actor details - FirstName:CybillLastName:ShepherdDob:1949.
Actor details - FirstName:ElizabethLastName:ShepherdDob:.
Actor details - FirstName:MichaelLastName:Shepley-SmithDob:1907.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ShepperdLastName:StrudwickDob:1907.
Actor details - FirstName:Clara LouLastName:SheridanDob:1915.
Actor details - FirstName:DinahLastName:SheridanDob:1920.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LowellLastName:ShermanDob:1885.
Actor details - FirstName:MadeleineLastName:ThrontonDob:1926.
Actor details - FirstName:VladekLastName:SheybalDob:1928.
Actor details - FirstName:ArthurLastName:ShieldsDob:1895.
Actor details - FirstName:BrookeLastName:ShieldsDob:1965.
Actor details - FirstName:JamesLastName:ShigetaDob:1933.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JoannaLastName:ShimkusDob:1943.
Actor details - FirstName:YukiLastName:ShimodaDob:1924.
Actor details - FirstName:TakashiLastName:ShimuraDob:1905.
Actor details - FirstName:BillLastName:ShineDob:1911.
Actor details - FirstName:RonaldLastName:ShinerDob:1903.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:TaliaLastName:ShireDob:1947.
Actor details - FirstName:Dawn (O'Day)LastName:ParisDob:1918.
Actor details - FirstName:AnneLastName:ShoemakerDob:1891.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Francis (Fanny) RoseLastName:ShoreDob:1917.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:1950.
Actor details - FirstName:WinifredLastName:ShotterDob:1904.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CaseyLastName:AdamsDob:1904.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ElizabethLastName:ShueDob:1963.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:SammyLastName:GreenfieldDob:1878.
Actor details - FirstName:SophiaLastName:KosowDob:1910.
Actor details - FirstName:GregoryLastName:SierraDob:.
Actor details - FirstName:SimoneLastName:KaminkerDob:1921.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:James B.LastName:SikkingDob:.
Actor details - FirstName:MiltonLastName:SilvsDob:1882.
Actor details - FirstName:HenryLastName:SilvaDob:1928.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Joan MicklinLastName: SilverDob:1935.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RonLastName:SilverDob:1946.
Actor details - FirstName:FrankLastName:SilveraDob:1914.
Actor details - FirstName:JayLastName:SilverheelsDob:1919.
Actor details - FirstName:PhilipLastName:SilverDob:1912.
Actor details - FirstName:AlistairLastName:SimDob:1900.
Actor details - FirstName:GeraldLastName:SimDob:1925.
Actor details - FirstName:SheilaLastName:SimDob:1922.
Actor details - FirstName:VasekLastName:SimekDob:1928.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JeanLastName:SimmonsDob:1929.
Actor details - FirstName:FrancoisLastName:SimonDob:1895.
Actor details - FirstName:PaulLastName:SimonDob:1942.
Actor details - FirstName:SimoneLastName:SimonDob:1910.
Actor details - FirstName:IvanLastName:SimpsonDob:1875.
Actor details - FirstName:O.J.LastName:SimpsonDob:1947.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RusselLastName:SimpsonDob:1878.
Actor details - FirstName:JoanLastName:SimsDob:1930.
Actor details - FirstName:Francis AlbertLastName:SinatraDob:1915.
Actor details - FirstName:NancyLastName:SinatraDob:1940.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:HughLastName:SinclairDob:1903.
Actor details - FirstName:DonaldLastName:SindenDob:1923.
Actor details - FirstName:CampbellLastName:SingerDob:1909.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MarianaLastName:McNultyDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LiliaLastName:SkalaDob:.
Actor details - FirstName:HalLastName:SkellyDob:1891.
Actor details - FirstName:RichardLastName:SkeltonDob:1910.
Actor details - FirstName:TomLastName:SkerrittDob:1933.
Actor details - FirstName:CorneliaLastName:SkinnerDob:1901.
Actor details - FirstName:OtisLastName:SkinnerDob:1858.
Actor details - FirstName:AlisonLastName:GroomDob:1875.
Actor details - FirstName:HelgiLastName:SkulasonDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JeremyLastName:SlateDob:1925.
Actor details - FirstName:LastName:Dob:1969.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JohnLastName:SlaterDob:1916.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:N.CarterLastName:SlaughterDob:1885.
Actor details - FirstName:WalterLastName:SlezakDob:1902.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:EverettLastName:SloaneDob:1909.
Actor details - FirstName:OliveLastName:SloaneDob:1896.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:GladysLastName:SmithDob:1921.
Actor details - FirstName:ArtLastName:SmithDob:1899.
Actor details - FirstName:BrookeLastName:SmithDob:1968.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Sir C.~AubreyLastName:SmithDob:1863.
Actor details - FirstName:CharlesLastName:SmithDob:1920.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ConstanceLastName:SmithDob:1929.
Actor details - FirstName:CyrilLastName:SmithDob:1892.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RobertLastName:Van OrdenDob:1931.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:KentLastName:SmithDob:1907.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LoisLastName:SmithDob:1930.
Actor details - FirstName:MaggieLastName:SmithDob:1934.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PaulLastName: SmithDob:.
Actor details - FirstName:CherylLastName:SmithDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RogerLastName:SmithDob:1932.
Actor details - FirstName:InnokentiLastName:SmoktunovskyDob:1925.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:TomLastName:SmothersDob:1937.
Actor details - FirstName:WesleyLastName:SnipesDob:.
Actor details - FirstName:CarrieLastName:SnodgrassDob:1946.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AbrahamLastName:SofaerDob:1896.
Actor details - FirstName:fnLastName:SojinDob:.
Actor details - FirstName:VladimirLastName:SokoloffDob:1889.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:EwenLastName:SolonDob:1923.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:SuzanneLastName:SomersDob:1946.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ElkeLastName:SchletzDob:1940.
Actor details - FirstName:JosefLastName:SommerDob:1930.
Actor details - FirstName:EdithLastName:SondergaardDob:1899.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:GoroLastName:SuzukiDob:1916.
Actor details - FirstName:AlbertoLastName:SordiDob:1919.
Actor details - FirstName:JeanLastName:de RochbruneDob:1934.
Actor details - FirstName:LouiseLastName:SorelDob:1944.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PaulLastName:SorvinoDob:1939.
Actor details - FirstName:HarrietteLastName:LakeDob:1909.
Actor details - FirstName:gnLastName:bnDob:.
Actor details - FirstName:DavidLastName:SolbergDob:1943.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CatherineLastName:SpaakDob:1945.
Actor details - FirstName:ArthurLastName:SpaceDob:1908.
Actor details - FirstName:SissyLastName:SpacekDob:1950.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:EdwardLastName:SparkmanDob:1883.
Actor details - FirstName:CamillaLastName:SparvDob:1943.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CarloLastName:PedersoliDob:1929.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JeremyLastName:SpenserDob:1937.
Actor details - FirstName:VictoriaLastName: BeckhamDob:19bb.
Actor details - FirstName:DavidLastName:SpielbergDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:VictorLastName:SpinettiDob:1932.
Actor details - FirstName:LastName:Dob:n.a..
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RonaldLastName:SquireDob:1886.
Actor details - FirstName:RobertLastName:ModiniDob:1919.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:FrederickLastName:StaffordDob:1928.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PhilipLastName:StaintonDob:1908.
Actor details - FirstName:SylvesterLastName:StalloneDob:1946.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:TerenceLastName:StampDob:1940.
Actor details - FirstName:EnidLastName:Stamp-TaylorDob:1904.
Actor details - FirstName:LionelLastName:StanderDob:1908.
Actor details - FirstName:Sir GuyLastName:StandingDob:1873.
Actor details - FirstName:JohnLastName:LeonDob:1934.
Actor details - FirstName:MichaelLastName:St. AngelDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PatriciaLastName:ReidDob:1921.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:HarryLastName:StantonDob:1926.
Actor details - FirstName:RubyLastName:StevensDob:1907.
Actor details - FirstName:JeanLastName:MurrayDob:1923.
Actor details - FirstName:MaureenLastName:StapletonDob:1925.
Actor details - FirstName:GrahamLastName:StarkDob:1922.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PaulineLastName:StarkeDob:1901.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CharlesLastName:StarrettDob:1904.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AnthonyLastName:SteelDob:1920.
Actor details - FirstName:BarbaraLastName:SteeleDob:1938.
Actor details - FirstName:RobertLastName:BradburyDob:1907.
Actor details - FirstName:TommyLastName:HicksDob:1936.
Actor details - FirstName:MaryLastName:SteenburgenDob:1952.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RodLastName:SteigerDob:1925.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AnnelLastName:Stenskaja SudakevichDob:1908.
Actor details - FirstName:GordonLastName:SummerDob:.
Actor details - FirstName:KarelLastName:StepanekDob:1899.
Actor details - FirstName:SusanLastName:StephenDob:1931.
Actor details - FirstName:AnnLastName:StephensDob:1931.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:1970.
Actor details - FirstName:MartinLastName:StephensDob:1949.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RobertLastName:StephensDob:1931.
Actor details - FirstName:H.S.LastName:GarrowayDob:1871.
Actor details - FirstName:JamesLastName:StephensonDob:1888.
Actor details - FirstName:PamelaLastName:StephensonDob:1951.
Actor details - FirstName:IlseLastName:SteppatDob:1917.
Actor details - FirstName:George F.LastName:StitchDob:1883.
Actor details - FirstName:Jan SterlingLastName:AdrianceDob:1923.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:William JohnLastName:HartDob:1917.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AndrewLastName:StevensDob:1955.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ConcettaLastName:IngoliaDob:1938.
Actor details - FirstName:GailLastName:SheklesDob:1918.
Actor details - FirstName:IngerLastName:StenslandDob:1935.
Actor details - FirstName:GloriaLastName:WoodDob:1919.
